"","Df","Deviance","Resid. Df","Resid. Dev"
"NULL",NA,NA,1831,339.465065502183
"V1",0,0,1831,339.465065502183
"V2",1,0.108711005407145,1830,339.356354496776
"V3",1,0.108925050265611,1829,339.247429446511
"V4",1,0.0121160234715489,1828,339.235313423039
"V5",1,0.0606199028989636,1827,339.17469352014
"V6",1,0.205387338609,1826,338.969306181531
"V7",0,0,1826,338.969306181531
"V8",1,0.294138402907777,1825,338.675167778623
"V9",0,0,1825,338.675167778623
"V10",0,0,1825,338.675167778623
"V11",1,0.154611821179344,1824,338.520555957444
"V12",1,0.518147469691598,1823,338.002408487752
"V13",1,0.20567291019637,1822,337.796735577556
"V14",0,0,1822,337.796735577556
"V15",1,0.0573988365661648,1821,337.73933674099
"V16",1,0.0262329895670632,1820,337.713103751423
"V17",0,0,1820,337.713103751423
"V18",1,0.173312456572091,1819,337.539791294851
"V19",1,0.254192066626786,1818,337.285599228224
"V20",0,0,1818,337.285599228224
"V21",1,0.000800692623556643,1817,337.2847985356
"V22",1,0.0722878932639901,1816,337.212510642336
"V23",1,0.0628886268088991,1815,337.149622015527
"V24",0,0,1815,337.149622015527
"V25",0,0,1815,337.149622015527
"V26",1,0.0469806781255784,1814,337.102641337402
"V27",1,0.118583350206166,1813,336.984057987196
"V28",0,0,1813,336.984057987196
"V29",0,0,1813,336.984057987196
"V30",1,0.000934591191935397,1812,336.983123396004
"V31",0,0,1812,336.983123396004
"V32",1,0.0513003504121912,1811,336.931823045592
"V33",0,0,1811,336.931823045592
"V34",0,0,1811,336.931823045592
"V35",1,0.0468456538484929,1810,336.884977391743
"V36",1,0.0167437640730554,1809,336.86823362767
"V37",1,0.00810967569663035,1808,336.860123951973
"V38",1,0.535196111929338,1807,336.324927840044
"V39",0,0,1807,336.324927840044
"V40",0,0,1807,336.324927840044
"V41",1,0.0475641382815866,1806,336.277363701763
"V42",0,0,1806,336.277363701763
"V43",0,0,1806,336.277363701763
"V44",0,0,1806,336.277363701763
"V45",0,0,1806,336.277363701763
"V46",0,0,1806,336.277363701763
"V47",0,0,1806,336.277363701763
"V48",0,0,1806,336.277363701763
"V49",1,0.0173445147373741,1805,336.260019187025
"V50",0,0,1805,336.260019187025
"V51",1,0.591825196114883,1804,335.66819399091
"V52",0,0,1804,335.66819399091
"V53",0,0,1804,335.66819399091
"V54",0,0,1804,335.66819399091
"V55",0,0,1804,335.66819399091
"V56",1,0.430561806387516,1803,335.237632184523
"V57",1,0.0413735288603334,1802,335.196258655662
"V58",0,0,1802,335.196258655662
"V59",0,0,1802,335.196258655662
"V60",1,0.0753989321423774,1801,335.12085972352
"V61",1,0.108536296647856,1800,335.012323426872
"V62",0,0,1800,335.012323426872
"V63",1,0.0249251419592156,1799,334.987398284913
"V64",1,0.558544711690388,1798,334.428853573223
"V65",0,0,1798,334.428853573223
"V66",1,0.00599019083250596,1797,334.42286338239
"V67",0,0,1797,334.42286338239
"V68",0,0,1797,334.42286338239
"V69",1,0.0202931552159384,1796,334.402570227174
"V70",1,0.071949678240685,1795,334.330620548933
"V71",1,0.00259042225513895,1794,334.328030126678
"V72",1,0.0015262213483993,1793,334.32650390533
"V73",1,0.127119004104827,1792,334.199384901225
"V74",1,0.000207837151208423,1791,334.199177064074
"V75",1,0.157815764085569,1790,334.041361299988
