"","Df","Deviance","Resid. Df","Resid. Dev"
"other_supplement_frequency",1,0.0130373638214962,15875,130.021300148801
"pets_other",1,0.0288537194819014,15874,129.992446429319
"physical_specimen_location",0,0,15874,129.992446429319
"physical_specimen_remaining",0,0,15874,129.992446429319
"pku",1,0.00133355320107853,15873,129.991112876118
"pool_frequency",1,0.0120798787505407,15872,129.979032997368
"poultry_frequency",1,0.0306154386807975,15871,129.948417558687
"pregnant",1,0.0776592616475966,15870,129.870758297039
"prepared_meals_frequency",1,0.0175029446025121,15869,129.853255352437
"probiotic_frequency",1,0.167492478006949,15868,129.68576287443
"public",0,0,15868,129.68576287443
"qiita_study_id",0,0,15868,129.68576287443
"race",1,0.192837389893668,15867,129.492925484536
"ready_to_eat_meals_frequency",1,0.033734282835411,15866,129.459191201701
"red_meat_frequency",1,0.00229327641082477,15865,129.45689792529
"roommates",1,0.0904995821804562,15864,129.36639834311
"roommates_in_study",1,0.0272704858567181,15863,129.339127857253
"salted_snacks_frequency",1,0.322927173436796,15862,129.016200683816
"sample_type",1,0.00268503267827214,15861,129.013515651138
"scientific_name",0,0,15861,129.013515651138
"seafood_frequency",1,0.167898620731535,15860,128.845617030406
"seasonal_allergies",1,0.0117978731502149,15859,128.833819157256
"sex",1,0.170276722701431,15858,128.663542434555
"sibo",1,0.00128374538974185,15857,128.662258689165
"skin_condition",1,0.000483312224275778,15856,128.661775376941
"sleep_duration",1,0.00453244176290468,15855,128.657242935178
"smoking_frequency",1,0.00956745489628474,15854,128.647675480281
"softener",1,1.27034549848304e-05,15853,128.647662776826
"specialized_diet_exclude_dairy",1,0.0211180963769095,15852,128.62654468045
"specialized_diet_exclude_nightshades",1,0.0254057369891143,15851,128.60113894346
"specialized_diet_exclude_refined_sugars",1,0.0406027326217213,15850,128.560536210839
"specialized_diet_fodmap",1,0.00353118068156277,15849,128.557005030157
"specialized_diet_halaal",1,0.000812540721341293,15848,128.556192489436
"specialized_diet_i_do_not_eat_a_specialized_diet",1,0.0756571713197616,15847,128.480535318116
"specialized_diet_kosher",1,0.047384025964476,15846,128.433151292152
"specialized_diet_modified_paleo_diet",1,0.00736238251818122,15845,128.425788909633
"specialized_diet_other_restrictions_not_described_here",1,0.00358937419164818,15844,128.422199535442
"specialized_diet_paleodiet_or_primal_diet",1,0.00134270281699855,15843,128.420856832625
"specialized_diet_raw_food_diet",1,0.0322567026409217,15842,128.388600129984
"specialized_diet_unspecified",1,0.00278548198892281,15841,128.385814647995
"specialized_diet_westenprice_or_other_lowgrain_low_processed_fo",1,0.00702650292947737,15840,128.378788145065
"state",1,0.000503835899053229,15839,128.378284309166
"subset_age",1,0.0255503711572658,15838,128.352733938009
"subset_antibiotic_history",1,0.000415984944282854,15837,128.352317953065
"subset_bmi",1,0.0149821017434704,15836,128.337335851321
"subset_diabetes",1,0.0122480200265329,15835,128.325087831295
"subset_healthy",1,0.0933660065827837,15834,128.231721824712
"subset_ibd",1,0.0149706764377981,15833,128.216751148274
"sugar_sweetened_drink_frequency",1,0.00530018927162246,15832,128.211450959003
"sugary_sweets_frequency",1,0.00377691256110779,15831,128.207674046441
"survey_id",1,0.0353967886730402,15830,128.172277257768
