"","Df","Deviance","Resid. Df","Resid. Dev"
"NULL",NA,NA,612,119.657422512235
"V1",0,1.4210854715202e-14,612,119.657422512235
"V2",0,0,612,119.657422512235
"V3",0,0,612,119.657422512235
"V4",0,0,612,119.657422512235
"V5",0,0,612,119.657422512235
"V6",0,0,612,119.657422512235
"V7",0,0,612,119.657422512235
"V8",0,0,612,119.657422512235
"V9",0,0,612,119.657422512235
"V10",0,0,612,119.657422512235
"V11",0,0,612,119.657422512235
"V12",1,0.0708212050453483,611,119.58660130719
"V13",0,0,611,119.58660130719
"V14",0,0,611,119.58660130719
"V15",0,0,611,119.58660130719
"V16",0,0,611,119.58660130719
"V17",0,0,611,119.58660130719
"V18",0,0,611,119.58660130719
"V19",0,0,611,119.58660130719
"V20",0,0,611,119.58660130719
"V21",0,0,611,119.58660130719
"V22",0,0,611,119.58660130719
"V23",0,0,611,119.58660130719
"V24",0,0,611,119.58660130719
"V25",0,0,611,119.58660130719
"V26",0,0,611,119.58660130719
"V27",0,0,611,119.58660130719
"V28",0,0,611,119.58660130719
"V29",0,0,611,119.58660130719
"V30",0,0,611,119.58660130719
"V31",0,0,611,119.58660130719
"V32",0,0,611,119.58660130719
"V33",0,0,611,119.58660130719
"V34",0,0,611,119.58660130719
"V35",0,0,611,119.58660130719
"V36",1,0.071053025683824,610,119.515548281506
"V37",1,0.989227916492254,609,118.526320365013
"V38",1,0.159533682619127,608,118.366786682394
"V39",0,0,608,118.366786682394
"V40",0,0,608,118.366786682394
"V41",0,0,608,118.366786682394
"V42",0,0,608,118.366786682394
"V43",0,0,608,118.366786682394
"V44",0,0,608,118.366786682394
"V45",0,0,608,118.366786682394
"V46",0,0,608,118.366786682394
"V47",0,0,608,118.366786682394
"V48",0,0,608,118.366786682394
"V49",0,0,608,118.366786682394
"V50",0,0,608,118.366786682394
"V51",0,0,608,118.366786682394
"V52",0,0,608,118.366786682394
"V53",0,0,608,118.366786682394
"V54",0,0,608,118.366786682394
"V55",0,0,608,118.366786682394
"V56",0,0,608,118.366786682394
"V57",0,0,608,118.366786682394
"V58",0,0,608,118.366786682394
"V59",0,0,608,118.366786682394
"V60",0,0,608,118.366786682394
"V61",1,0.0253036671779512,607,118.341483015216
"V62",0,0,607,118.341483015216
"V63",1,0.427768840591042,606,117.913714174625
"V64",1,0.0766392618914864,605,117.837074912734
"V65",0,0,605,117.837074912734
"V66",0,0,605,117.837074912734
"V67",0,0,605,117.837074912734
"V68",0,0,605,117.837074912734
"V69",0,0,605,117.837074912734
"V70",0,0,605,117.837074912734
"V71",0,0,605,117.837074912734
"V72",0,0,605,117.837074912734
"V73",1,0.148117907828762,604,117.688957004905
"V74",0,0,604,117.688957004905
"V75",0,0,604,117.688957004905
"V76",0,0,604,117.688957004905
