"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"V102",1,0.00352632027265292,0.00352632027265292,0.0248550915352723,0.874769326702637
"V103",1,0.115751979205428,0.115751979205428,0.81587201844698,0.3666676548606
"V104",1,0.131152563931534,0.131152563931534,0.924422267280762,0.33661331524948
"V106",1,0.0314676002909961,0.0314676002909961,0.221797802001591,0.637804659143752
"V107",1,0.0244919772499828,0.0244919772499828,0.17263047294628,0.677898360384803
"V108",1,0.0156106461185953,0.0156106461185953,0.110030856020496,0.740197774455692
"V110",1,0.845272918611998,0.845272918611998,5.95786376164359,0.0148723674225104
"V112",1,0.0889362934938384,0.0889362934938384,0.626863002983611,0.428748108098025
"V113",1,0.0666166607139583,0.0666166607139583,0.469544191053851,0.493399740201307
"V114",1,0.00850897541698954,0.00850897541698954,0.0599750863529896,0.806599487633973
"V115",1,0.00812688843348617,0.00812688843348617,0.0572819654180985,0.810907289921233
"V116",1,0.054147916022076,0.054147916022076,0.381658869618336,0.536896404068556
"V117",1,0.0105089459776756,0.0105089459776756,0.0740717785165473,0.785569739346239
"V119",1,0.125484455303103,0.125484455303103,0.884470887967866,0.347270095208483
"V120",1,0.0654009443600594,0.0654009443600594,0.460975275322793,0.497369160191261
"V122",1,0.374482379741711,0.374482379741711,2.63952026678064,0.104637451969515
"V123",1,0.0591871631024939,0.0591871631024939,0.417177749858449,0.518537902930551
"V124",1,0.0581695188223065,0.0581695188223065,0.410004935202174,0.522154328706563
"V125",1,0.121399796369764,0.121399796369764,0.85568037439318,0.355235333373656
"V126",1,0.0277675201456408,0.0277675201456408,0.195717972720667,0.658321779718722
"V127",1,0.167679916762277,0.167679916762277,1.18188348122384,0.277307430227048
"V129",1,0.000115853442497956,0.000115853442497956,0.000816587177374207,0.977210043453036
"V130",1,0.0051421043462295,0.0051421043462295,0.0362438645180982,0.849062114326353
"V133",1,0.0278563253647862,0.0278563253647862,0.196343911852682,0.657810657522105
"V134",1,0.00606417754130578,0.00606417754130578,0.0427430511755257,0.836263599595748
"V136",1,0.122893074101834,0.122893074101834,0.866205667573724,0.352294741405852
"V137",1,0.00632237969928482,0.00632237969928482,0.0445629761326953,0.832864600182251
"V138",1,0.0974021943613817,0.0974021943613817,0.686534480535769,0.407598130360147
"V139",1,0.00370062131139938,0.00370062131139938,0.0260836436626368,0.871737876334403
"V140",1,0.193297535667443,0.193297535667443,1.3624479829061,0.243469011451301
"V141",1,0.00960800554239118,0.00960800554239118,0.0677215450563361,0.794751976948505
"V142",1,0.408127703858077,0.408127703858077,2.87666764591448,0.0902693320202078
"V143",1,0.384698831003135,0.384698831003135,2.71153041096341,0.100026633973602
"V144",1,0.0760421125116758,0.0760421125116758,0.535979015199112,0.464323016653862
"V145",1,0.101394423411283,0.101394423411283,0.714673506714017,0.398154924218219
"V146",1,0.260172946910373,0.260172946910373,1.83381596408255,0.176068165348432
"V147",1,0.65111058599052,0.65111058599052,4.58932030079164,0.03247957324762
"V148",1,0.322462207911539,0.322462207911539,2.27285869535542,0.132060200092475
"V151",1,6.6819808325466e-05,6.6819808325466e-05,0.000470976066802164,0.982691210978283
"V152",1,0.0749195696270787,0.0749195696270787,0.528066827992152,0.46763792528839
