"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"acid_reflux",1,2.96781788383719,2.96781788383719,367.507508690835,5.40592790403129e-81
"acne_medication",1,38.629007909956,38.629007909956,4783.46415307378,0
"add_adhd",1,3.75673815006418,3.75673815006418,465.200201755251,1.03172563391072e-101
"age_cat",1,41.0487563858562,41.0487563858562,5083.10374311721,0
"age_corrected",1,11.9245734794396,11.9245734794396,1476.63046155768,6.11834507369568e-309
"age_years",1,3.93261475775084,3.93261475775084,486.979157357591,2.58767526274658e-106
"alcohol_consumption",1,8.02028593234889,8.02028593234889,993.159087704786,1.79682439006933e-211
"allergic_to_i_have_no_food_allergies_that_i_know_of",1,14.0879059483993,14.0879059483993,1744.51783108502,0
"allergic_to_other",1,26.0373685091347,26.0373685091347,3224.23032955287,0
"allergic_to_peanuts",1,30.0326999350018,30.0326999350018,3718.97574729265,0
"allergic_to_shellfish",1,8.85194068565499,8.85194068565499,1096.14363003231,1.80736393670794e-232
"allergic_to_tree_nuts",1,2.85170598876682,2.85170598876682,353.129270214991,6.22228970242974e-78
"allergic_to_unspecified",1,24.2288881490331,24.2288881490331,3000.28460994627,0
"alzheimers",1,0.348914052056363,0.348914052056363,43.2063351045878,5.08019232143465e-11
"antibiotic_history",1,1.60293473485187e-07,1.60293473485187e-07,1.98492823366156e-05,0.996445290090457
"asd2",1,77.5725996526037,77.5725996526037,9605.88349987983,0
"assigned_from_geo",1,4.76770887297643,4.76770887297643,590.389598908043,4.53771839523658e-128
"autoimmune",1,0.733796110939387,0.733796110939387,90.8666202488426,1.75527889167549e-21
"birth_year",1,0.00636387204233354,0.00636387204233354,0.788043893340713,0.374705763685898
"bmi",1,0.000466762543914373,0.000466762543914373,0.0577996178937973,0.810011270580244
"bmi_cat",1,0.33459121005255,0.33459121005255,41.4327249343478,1.25509902845784e-10
"bmi_corrected",1,0.216300515465114,0.216300515465114,26.7846837907553,2.30215359341597e-07
"bowel_movement_frequency",1,0.0829239633401396,0.0829239633401396,10.2685475897539,0.00135585723146856
"bowel_movement_quality",1,1.99439862842547,1.99439862842547,246.968142910912,3.11284495089726e-55
"breastmilk_formula_ensure",1,0.318257625786128,0.318257625786128,39.410122774547,3.52468101313162e-10
"cancer",1,0.0534568013954522,0.0534568013954522,6.61960291108655,0.0100952633310358
"cardiovascular_disease",1,1.06660948302674,1.06660948302674,132.079193938398,1.89909722280632e-30
"cat",1,0.0974340677215531,0.0974340677215531,12.0653466255366,0.000515051801701402
"cdiff",1,1.40256244277742,1.40256244277742,173.680545540085,1.87616981430614e-39
"census_region",1,0.00893666109514893,0.00893666109514893,1.10663463313528,0.292830747091845
"chickenpox",1,0.029595637691617,0.029595637691617,3.66485394383431,0.0555895363822343
"clinical_condition",1,0.0653520281407957,0.0653520281407957,8.09259934065237,0.00445034320468157
"collection_month",1,0.00275171655520996,0.00275171655520996,0.340747490382066,0.559406397595247
"collection_season",1,0.0153002454185446,0.0153002454185446,1.89464289798591,0.168698661536697
"consume_animal_products_abx",1,0.0878961985900697,0.0878961985900697,10.884263870486,0.00097198971318438
"contraceptive",1,0.0360302526297632,0.0360302526297632,4.4616579924188,0.0346794683868532
"cosmetics_frequency",1,0.0319539454606629,0.0319539454606629,3.95688527690511,0.0466971977137524
"country",1,0.0354193365540373,0.0354193365540373,4.38600771541498,0.0362509395322168
"country_of_birth",1,0.024931153336783,0.024931153336783,3.08724672813952,0.0789275646367508
"country_residence",1,0.0165787368723233,0.0165787368723233,2.05295962342231,0.151930397373679
"csection",1,0.137057627586781,0.137057627586781,16.9719670252709,3.81288426692525e-05
"deodorant_use",1,0.00563310202447592,0.00563310202447592,0.697551996869769,0.403620098412331
"depression_bipolar_schizophrenia",1,0.0767638102421664,0.0767638102421664,9.50573039314639,0.00205183773884858
"diabetes",1,0.0400789455705307,0.0400789455705307,4.96301121365887,0.0259090865730448
"diabetes_type",1,0.0289621731844565,0.0289621731844565,3.58641147465907,0.0582721393533451
"diet_type",1,0.0222270412957742,0.0222270412957742,2.75239414677859,0.0971287473502774
"dog",1,0.00206310415118036,0.00206310415118036,0.255476008450257,0.613252417257138
