"","Df","Deviance","Resid. Df","Resid. Dev"
"V194",1,0.00259081866477118,12994,433.046545712965
"V195",1,0.0112500734198875,12993,433.035295639545
"V196",1,0.000796212888587888,12992,433.034499426656
"V197",1,0.00202818565713869,12991,433.032471240999
"V198",1,9.61458334813869e-05,12990,433.032375095166
"V199",1,0.00152781930603396,12989,433.03084727586
"V200",1,0.00982342805281178,12988,433.021023847807
"V201",1,0.000240434564432235,12987,433.020783413242
"V202",1,0.00104572992984231,12986,433.019737683313
"V203",1,0.00032045876707798,12985,433.019417224545
"V204",1,0.0587247158622972,12984,432.960692508683
"V205",1,0.000882249426183535,12983,432.959810259257
"V206",1,3.85777719316138e-05,12982,432.959771681485
"V207",1,0.000425683378978192,12981,432.959345998106
"V208",1,0.00044287291677847,12980,432.958903125189
"V209",1,0.000564061984846376,12979,432.958339063204
"V210",1,0.00036139191820439,12978,432.957977671286
"V211",1,3.73671014131105e-08,12977,432.957977633919
"V212",1,0.0241509568601828,12976,432.933826677059
"V213",1,4.15797992445732e-05,12975,432.93378509726
"V214",1,0.00290431047329776,12974,432.930880786786
"V215",1,0.000395935518440638,12973,432.930484851268
"V216",1,0.005714135839753,12972,432.924770715428
"V217",1,8.29143891678541e-06,12971,432.924762423989
"V218",1,0.00726226375365968,12970,432.917500160236
"V219",1,0.010073066868074,12969,432.907427093368
"V220",1,0.00423994317191045,12968,432.903187150196
"V221",1,0.0578071869786072,12967,432.845379963217
"V222",1,5.73716380358746e-06,12966,432.845374226053
"V223",1,0.00149215722763074,12965,432.843882068826
"V224",1,0.121768034515924,12964,432.72211403431
"V225",1,0.000885082473644161,12963,432.721228951836
"V226",1,0.00431999082076118,12962,432.716908961015
"V227",1,0.00590299573656239,12961,432.711005965279
"V228",1,0.00237872567441855,12960,432.708627239604
"V229",1,0.00106774274536292,12959,432.707559496859
"V230",1,0.00715765832774196,12958,432.700401838531
"V231",1,2.95318005782974e-06,12957,432.700398885351
"V232",1,0.0145551102486365,12956,432.685843775103
"V233",1,4.00784768999074e-05,12955,432.685803696626
"V234",1,0.00231826777593369,12954,432.68348542885
"V235",1,0.00981225424925469,12953,432.6736731746
"V236",1,4.74132653494053e-05,12952,432.673625761335
"V237",1,0.00107396865922738,12951,432.672551792676
"V238",1,0.00743131222316151,12950,432.665120480453
"V239",1,0.000758755004426348,12949,432.664361725448
"V240",1,0.00731404324221785,12948,432.657047682206
"V241",1,0.000155811897570857,12947,432.656891870308
"V242",1,0.0065854547506774,12946,432.650306415558
"V243",1,0.00314347110321478,12945,432.647162944455
"V244",0,0,12945,432.647162944455
"V245",1,0.000525975518087307,12944,432.646636968936
"V246",1,0.000458747907373436,12943,432.646178221029
"V247",1,0.000123980915020638,12942,432.646054240114
"V248",1,0.00112324052952317,12941,432.644930999585
"V249",1,1.6280824866044e-07,12940,432.644930836776
"V250",1,0.000139079115854202,12939,432.64479175766
"V251",1,0.000977377141623492,12938,432.643814380519
"V252",1,0.00114322033084591,12937,432.642671160188
"V253",1,1.58136396066766e-06,12936,432.642669578824
"V254",1,0.0106441322685669,12935,432.632025446555
"V255",1,0.00149867258585346,12934,432.63052677397
"V256",1,0.000559904109820764,12933,432.62996686986
